Branch;Central Status;Vehicle Status;Type Short Version (TNAM);Vehicle ACRISS (CRS);VIN;Internal No.;Plate;Rate Subtype;Number of Vehicles
42188 - Lima Miraflores;11 - Registered;0 - Rented;HYUND ACCENT SAL PET AUT;IDAR;KMHCT41BEE790478;13211823;ADZ382;CCD;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;HYUND ACCENT SAL PET AUT;IDAR;KMHCT41BEEU778635;13206257;ADZ546;N04;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;HYUND ACCENT SAL PET AUT;IDAR;KMHCT41BEEU778983;13209377;ADZ624;N04;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;HYUND ACCENT SAL PET AUT;IDAR;KMHCT41BEEU790570;13207631;AEA657;CCD;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;HYUND I10 SAL PET AUT;CDAR;mala471cbkm370710;14476076;BLT058;N04;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;HYUND I10 SAL PET AUT;CDAR;mala741cbkm70329;14476070;BLU049;N04;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;HYUND I10 SAL PET AUT;CDAR;mala741cbkm370304;14476071;BLU184;CCD;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;HYUND I10 SAL PET AUT;CDAR;mala741cbkm370305;14476080;BLT418;CYA;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;HYUND I10 SAL PET AUT;CDAR;mala741cbkm370330;14476077;BLT321;RY1;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;HYUND I10 SAL PET AUT;CDAR;mala741cbkm370335;14476068;BLS642;N04;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;HYUND I10 SAL PET AUT;CDAR;mala741cbkm373736;14476082;BLT052;N04;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;SUZUK APV GL MPV 8S PET MAN;IVMR;MHYDN71VXHJ403085;13710931;AXM338;I9A;1
42188 - Lima Miraflores;11 - Registered;0 - Rented;TOYOT AGYA SAL PET MAN;ECMR;mhka4de40j000801;14180494;BFZ489;N04;1
